iter	Passed	Remaining
444	1164	1452
445	1165	1448
446	1167	1444
447	1169	1441
448	1171	1437
449	1173	1434
450	1175	1431
451	1177	1428
452	1179	1424
453	1180	1420
454	1182	1416
455	1183	1412
456	1185	1408
457	1186	1403
458	1187	1399
459	1189	1395
460	1190	1391
461	1191	1387
462	1193	1383
463	1195	1380
464	1197	1377
465	1198	1373
466	1200	1369
467	1202	1366
468	1203	1363
469	1205	1359
470	1207	1355
471	1208	1351
472	1209	1348
473	1211	1344
474	1214	1342
475	1216	1339
476	1218	1335
477	1219	1332
478	1221	1328
479	1222	1324
480	1224	1321
481	1225	1317
482	1226	1313
483	1228	1309
484	1230	1306
485	1232	1303
486	1233	1299
487	1234	1295
488	1236	1292
489	1238	1289
490	1240	1285
491	1241	1282
492	1242	1278
493	1244	1274
494	1245	1270
495	1247	1267
496	1249	1264
497	1251	1261
498	1252	1257
499	1253	1253
500	1255	1250
501	1257	1247
502	1259	1244
503	1260	1240
504	1262	1237
505	1263	1233
506	1264	1229
507	1268	1228
508	1270	1225
509	1271	1221
510	1272	1218
511	1274	1214
512	1275	1210
513	1276	1207
514	1278	1203
515	1279	1200
516	1281	1196
517	1282	1193
518	1283	1189
519	1285	1187
520	1287	1183
521	1289	1180
522	1290	1177
523	1292	1173
524	1294	1170
525	1296	1167
526	1297	1164
527	1298	1161
528	1300	1157
529	1301	1153
530	1303	1150
531	1304	1147
532	1306	1144
533	1307	1141
534	1309	1138
535	1312	1136
536	1314	1133
537	1316	1130
538	1317	1126
539	1318	1123
540	1320	1119
541	1321	1117
542	1323	1114
543	1325	1111
544	1326	1107
545	1328	1104
546	1329	1101
547	1331	1097
548	1332	1094
549	1333	1091
550	1335	1087
551	1336	1084
552	1337	1081
553	1338	1077
554	1341	1075
555	1342	1072
556	1344	1069
557	1345	1065
558	1346	1062
559	1348	1059
560	1350	1057
561	1352	1054
562	1353	1050
563	1354	1047
564	1356	1044
565	1357	1040
566	1359	1038
567	1363	1036
568	1364	1033
569	1366	1030
570	1367	1027
571	1369	1024
572	1370	1021
573	1371	1018
574	1373	1015
575	1374	1012
576	1376	1009
577	1378	1006
578	1380	1003
579	1382	1000
580	1383	997
581	1385	995
582	1386	991
583	1388	989
584	1390	986
585	1392	983
586	1393	980
587	1394	977
588	1397	975
589	1401	974
590	1405	972
591	1407	969
592	1409	967
593	1411	964
594	1413	961
595	1416	960
596	1420	959
597	1423	956
598	1425	954
599	1426	951
600	1428	948
601	1430	945
602	1432	942
603	1434	940
604	1436	937
605	1437	934
606	1439	931
607	1440	928
608	1441	925
609	1443	922
610	1445	920
611	1447	917
612	1448	914
613	1450	912
614	1455	911
615	1457	908
616	1459	906
617	1461	903
618	1462	900
619	1464	897
620	1468	895
621	1469	893
622	1472	891
623	1474	888
624	1476	885
625	1478	883
626	1480	880
627	1482	877
628	1483	874
629	1484	872
630	1486	869
631	1487	866
632	1493	865
633	1495	863
634	1497	860
635	1498	857
636	1500	855
637	1502	852
638	1505	850
639	1507	847
640	1513	847
641	1515	845
642	1517	842
643	1519	839
644	1520	837
645	1522	834
646	1524	831
647	1525	828
648	1528	826
649	1530	824
650	1532	821
651	1535	819
652	1536	816
653	1539	814
654	1540	811
655	1543	809
656	1554	811
657	1556	808
658	1558	806
659	1559	803
660	1562	801
661	1564	798
662	1567	796
